正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪",待补充,待补充,高考英语词汇
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进",待补充,待补充,高考英语词汇
museum,n. 博物馆,待补充,待补充,高考英语词汇
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长",待补充,待补充,高考英语词汇
music,n. 音乐，乐曲,待补充,待补充,高考英语词汇
musical,"adj. 音乐的；悦耳的
n. 音乐片",待补充,待补充,高考英语词汇
musician,n. 音乐家,待补充,待补充,高考英语词汇
must,"aux. 必须，一定；可以，应当；很可能
n. 绝对必要的事物；未发酵葡萄汁",待补充,待补充,高考英语词汇
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷",待补充,待补充,高考英语词汇
myself,pron. 我自己；我亲自；我的正常的健康状况和正常情绪,待补充,待补充,高考英语词汇
mysterious,adj. 神秘的；不可思议的；难解的,待补充,待补充,高考英语词汇
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀,待补充,待补充,高考英语词汇
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子",待补充,待补充,高考英语词汇
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的",待补充,待补充,高考英语词汇
namely,adv. 也就是；即是；换句话说,待补充,待补充,高考英语词汇
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽",待补充,待补充,高考英语词汇
napkin,n. 餐巾；餐巾纸；尿布,待补充,待补充,高考英语词汇
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄",待补充,待补充,高考英语词汇
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力",待补充,待补充,高考英语词汇
nation,n. 国家；民族；国民,待补充,待补充,高考英语词汇
national,"adj. 国家的；国民的；民族的；国立的
n. 国民",待补充,待补充,高考英语词汇
nationality,n. 国籍，国家；民族；部落,待补充,待补充,高考英语词汇
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民",待补充,待补充,高考英语词汇
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音",待补充,待补充,高考英语词汇
naturalist,"n. 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人
adj. 自然的（等于naturalistic）；自然主义的；博物学的",待补充,待补充,高考英语词汇
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地",待补充,待补充,高考英语词汇
nature,n. 自然；性质；本性；种类,待补充,待补充,高考英语词汇
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的,待补充,待补充,高考英语词汇
naval,adj. 海军的；军舰的,待补充,待补充,高考英语词汇
navy,"n. 海军
深蓝色的",待补充,待补充,高考英语词汇
